Target,Model,Feature_set,Feature,Importance_mean_RMSE_increase,Importance_std,Abs_importance_mean,Mean_abs_SHAP,Mean_SHAP,Std_abs_SHAP,Permutation_positive,Permutation_norm,SHAP_norm,Permutation_rank,SHAP_rank,Rank_difference,Consensus_score
AF,XGBoost,angle_engineered,HA_x_Angle,0.008271567994954572,0.0025893286274941544,0.008271567994954572,0.011799465877831802,-1.2935035727708784e-09,0.01097011993808651,0.008271567994954572,0.03685511228076296,0.06970417691170319,10.0,6.0,4.0,0.05327964459623308
AF,XGBoost,angle_engineered,P_over_HA,0.010686248025695663,0.0019343576389613767,0.010686248025695663,0.009468527711255276,1.616879523787714e-10,0.011898106586923132,0.010686248025695663,0.04761405226763879,0.05593439037937018,7.0,9.0,2.0,0.05177422132350448
AF,XGBoost,angle_engineered,Alg_x_P,0.00921260171348495,0.0023079890428913496,0.00921260171348495,0.010554529448402005,7.955047060896151e-10,0.008668959298385402,0.00921260171348495,0.04104801783114664,0.062349838162876335,8.0,8.0,0.0,0.051698927997011486
AF,XGBoost,angle_engineered,TP_x_P,0.007961998509843762,0.0027007821337264853,0.007961998509843762,0.007959914924059473,7.114269613232397e-10,0.011605998079650244,0.007961998509843762,0.03547578273412607,0.04702240964238475,11.0,11.0,0.0,0.04124909618825541
AF,XGBoost,angle_engineered,P_over_TP,0.008797714250013529,0.0015240145246484464,0.008797714250013529,0.00619533161322276,-2.975058213672277e-09,0.016586976417968146,0.008797714250013529,0.039199429503099625,0.03659830836970895,9.0,13.0,4.0,0.03789886893640429
AF,XGBoost,angle_engineered,Alg_x_Angle,0.0047156534402744395,0.0015834613751698153,0.0047156534402744395,0.00895845886811407,-3.039733303030386e-10,0.007015446624295624,0.0047156534402744395,0.021011244436906197,0.052921209168663066,12.0,10.0,2.0,0.036966226802784635
AF,XGBoost,angle_engineered,HA_x_P,0.0046891625304366505,0.0017669964004966192,0.0046891625304366505,0.007509653475911676,-1.4034513666956923e-09,0.0043747982864215775,0.0046891625304366505,0.02089321053365027,0.044362534698623245,13.0,12.0,1.0,0.032627872616136755
AF,XGBoost,angle_engineered,sin_angle,0.0008178923239405556,0.0003285704173632388,0.0008178923239405556,0.0022375741003391645,8.407773320155225e-11,0.0012784836180485897,0.0008178923239405556,0.0036442320791886178,0.013218247551027794,14.0,14.0,0.0,0.008431239815108205
AF,XGBoost,angle_engineered,HF_x_P,0.000414145671175131,0.00018027362045469196,0.000414145671175131,0.0018296051679903408,-4.527262939535426e-11,0.000773396088094177,0.000414145671175131,0.00184528317013916,0.010808211458771512,15.0,15.0,0.0,0.006326747314455336
AF,XGBoost,angle_engineered,Alg_fraction_x_HA_fraction,0.0003724310976555681,0.00017443021837781436,0.0003724310976555681,0.0008919548579595198,-2.5870071247250753e-10,0.0006140654250791069,0.0003724310976555681,0.0016594181332144319,0.005269135049008505,16.0,16.0,0.0,0.0034642765911114684
AF,XGBoost,angle_engineered,HF,3.454386060800258e-05,9.511373397469355e-05,3.454386060800258e-05,0.0007001308387973281,1.1124130736931785e-09,0.0004114912022279409,3.454386060800258e-05,0.00015391493633317484,0.00413595364011813,19.0,17.0,2.0,0.0021449342882256524
AF,XGBoost,angle_engineered,Alg_x_HA,0.00016085729516691015,9.305468092175208e-05,0.00016085729516691015,0.00043221151766677815,1.034802856828924e-10,0.0005881503839783144,0.00016085729516691015,0.0007167218691997057,0.002553246765798248,17.0,18.0,1.0,0.001634984317498977
AF,XGBoost,angle_engineered,Alg_mg_ml,0.00011262785103194644,0.0001233382240376973,0.00011262785103194644,0.00036708783591166025,4.5919378137878236e-10,0.0004952702277197753,0.00011262785103194644,0.0005018289275087108,0.0021685350609465426,18.0,19.0,1.0,0.0013351819942276268
AF,XGBoost,angle_engineered,cos_angle,2.2644680411894323e-05,6.919709926099502e-05,2.2644680411894323e-05,0.0002935768053349437,-2.3283063902794035e-10,0.00022459562596434374,2.2644680411894323e-05,0.0001008964974538594,0.00173427592300473,20.0,20.0,0.0,0.0009175862102292947
AF,XGBoost,angle_engineered,Alg_HA_ratio_safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0
AF,XGBoost,angle_engineered,HA_mg_ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0
AF,XGBoost,angle_engineered,Alg_fraction_feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0
AF,XGBoost,angle_engineered,TP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0
AF,XGBoost,angle_engineered,TP_pct_wv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0
