Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
87,-1.8868355237342453,0.07367999958002512,0.0938973452080504,-0.023809523809523815,Pr,Pr_mean,core,SVR_RBF
88,-0.06425500658517636,0.06922465791796831,0.07783618164324256,0.38095238095238104,Pr,Pr_mean,core,SVR_RBF
89,0.4125502409162689,0.08057716108970593,0.1125844420393417,0.7619047619047621,Pr,Pr_mean,core,SVR_RBF
90,0.06204208534812994,0.048770919783220956,0.0825283149887049,0.4523809523809524,Pr,Pr_mean,core,SVR_RBF
91,0.7050652908417124,0.05385538002299266,0.06008109656016688,0.6666666666666669,Pr,Pr_mean,core,SVR_RBF
92,-1.6541863558096535,0.054372997623990726,0.06768615775592618,0.0,Pr,Pr_mean,core,SVR_RBF
93,-0.7304434215988769,0.0740766118394907,0.09504264268208969,0.3571428571428572,Pr,Pr_mean,core,SVR_RBF
94,0.3762445848190049,0.06459706528932624,0.11208882966057739,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
95,-0.9393558432617775,0.083120553772314,0.10506518095975387,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
96,-1.6931769389641298,0.10745681136280114,0.12381244305680326,-0.2380952380952381,Pr,Pr_mean,core,SVR_RBF
97,-0.5850018882204855,0.0571667085485167,0.06909432456663933,0.5952380952380953,Pr,Pr_mean,core,SVR_RBF
98,-2.5859272417014845,0.056048380276120455,0.08473442523376672,0.09523809523809526,Pr,Pr_mean,core,SVR_RBF
99,0.6025350612253724,0.035053492802971625,0.04206293300991483,0.9523809523809524,Pr,Pr_mean,core,SVR_RBF
100,0.21422694202093218,0.10040551256124945,0.1318287989173335,0.8571428571428572,Pr,Pr_mean,core,SVR_RBF
1,0.23348543371287445,0.05773122767857153,0.06601819312817185,0.4047619047619048,Pr,Pr_mean,core,RandomForest
2,0.6947590155946199,0.04743183234126985,0.053714899284014815,0.7380952380952381,Pr,Pr_mean,core,RandomForest
3,0.48966290596937445,0.0417519735449733,0.06496276497296284,0.4285714285714286,Pr,Pr_mean,core,RandomForest
4,0.49932533718044314,0.07393215459656045,0.1045396143286607,0.1666666666666667,Pr,Pr_mean,core,RandomForest
5,-1.7623715620046156,0.06052367113095239,0.06461675182156697,0.11904761904761905,Pr,Pr_mean,core,RandomForest
6,-0.17143743713219428,0.060979714947090466,0.07203478502603268,0.6227656561948947,Pr,Pr_mean,core,RandomForest
7,0.2618972764210227,0.09644188392857159,0.13533323658419164,0.523809523809524,Pr,Pr_mean,core,RandomForest
8,0.06988511958971644,0.05990434209656041,0.06567819846477056,0.5714285714285715,Pr,Pr_mean,core,RandomForest
9,0.39516554885927446,0.04644959032287113,0.054529880981736,0.9047619047619048,Pr,Pr_mean,core,RandomForest
10,-0.0007625948788352321,0.04004937202380961,0.046291283264609365,0.8503146459584139,Pr,Pr_mean,core,RandomForest
11,-0.033493461996369156,0.0752551565806876,0.08372907239683403,0.04761904761904763,Pr,Pr_mean,core,RandomForest
12,0.22263107306733132,0.09327380522486786,0.13273811369698782,0.7142857142857144,Pr,Pr_mean,core,RandomForest
13,0.7199737643740642,0.030833911856662177,0.035250764822767885,0.7784570702436182,Pr,Pr_mean,core,RandomForest
14,0.4763168933656372,0.0510606669823231,0.052584879397575446,0.7142857142857144,Pr,Pr_mean,core,RandomForest
15,-5.851673897612771,0.06406395238095175,0.07096162403106904,0.09523809523809526,Pr,Pr_mean,core,RandomForest
16,0.3371032177850851,0.08615471180555538,0.12445247121795505,0.6190476190476191,Pr,Pr_mean,core,RandomForest
17,0.5504428208481511,0.04049496709656064,0.05072784702489997,0.6666666666666669,Pr,Pr_mean,core,RandomForest
18,0.05969600544229281,0.06947629997895652,0.07359600119844228,0.3333333333333334,Pr,Pr_mean,core,RandomForest
19,0.5476576305303265,0.0434586474867729,0.0537935611675772,0.7142857142857144,Pr,Pr_mean,core,RandomForest
20,0.13267868175760145,0.04488682870370385,0.05677881065949688,0.4285714285714286,Pr,Pr_mean,core,RandomForest
21,-1.188024517005748,0.06255081448412637,0.0690406504191337,0.28571428571428575,Pr,Pr_mean,core,RandomForest
22,0.542733201866062,0.04192179794973537,0.05400202778691917,0.8333333333333335,Pr,Pr_mean,core,RandomForest
23,0.43705562155504785,0.04960915376984128,0.0537703184263365,0.1666666666666667,Pr,Pr_mean,core,RandomForest
24,0.40613996041692213,0.06584584771825373,0.1092769372955426,0.880952380952381,Pr,Pr_mean,core,RandomForest
25,0.08455092161727595,0.07089181415343936,0.0837888953389237,0.4191691916696407,Pr,Pr_mean,core,RandomForest
26,0.09260653420412901,0.04912996412037077,0.05655532914623373,0.7619047619047621,Pr,Pr_mean,core,RandomForest
27,-0.481133995864504,0.05445136507936457,0.057144817589894065,0.7469879518072288,Pr,Pr_mean,core,RandomForest
28,0.7127297750618392,0.053013162698412386,0.060810688482236815,0.8571428571428572,Pr,Pr_mean,core,RandomForest
29,0.15493659130426696,0.08196616302910051,0.11951061202089078,0.5476190476190477,Pr,Pr_mean,core,RandomForest
30,0.19240168495420917,0.056597961474867634,0.06336661855829918,0.203596464525254,Pr,Pr_mean,core,RandomForest
31,-0.6177827019437594,0.06378253296356397,0.07726003244290097,-0.10778636357219329,Pr,Pr_mean,core,RandomForest
32,-5.048618345823042,0.09257283465608526,0.10809274004713289,0.6467181814331598,Pr,Pr_mean,core,RandomForest
33,0.7180356057980426,0.039714271164021236,0.04690289754236952,0.6586944440522925,Pr,Pr_mean,core,RandomForest
34,0.4854856376198612,0.08646482688492083,0.11806761926963143,0.7619047619047621,Pr,Pr_mean,core,RandomForest
